City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Belyy Yar,RU,71.49,clear sky,53.6039,91.3903,Pasportnyy Stol
6,Mahebourg,MU,72.25,moderate rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Mocuba,MZ,83.73,clear sky,-16.8392,36.9856,Phama Lodge
8,Cayenne,GF,87.1,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
9,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
10,Samarai,PG,78.08,overcast clouds,-10.6167,150.6667,Nuli Sapi
12,Cap Malheureux,MU,72.46,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
13,Rikitea,PF,74.93,broken clouds,-23.1203,-134.9692,People ThankYou
15,Atuona,PF,76.91,moderate rain,-9.8,-139.0333,Villa Enata
17,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Itarema,BR,86.52,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
26,Port Alfred,ZA,81.66,scattered clouds,-33.5906,26.891,The Halyards Hotel
28,Albany,US,74.71,overcast clouds,42.6001,-73.9662,
29,Salalah,OM,78.89,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
30,Chengde,CN,72.81,overcast clouds,40.9725,117.9361,Super 8 Hotel
32,Lorengau,PG,81.14,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
33,Avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
36,Vanimo,PG,77.92,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
42,Bandraboua,YT,78.48,clear sky,-12.7044,45.1223,HASSANI Mikidachi
48,Buala,SB,78.57,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
52,Halifax,CA,72.52,overcast clouds,44.6453,-63.5724,Hotel Halifax
53,San Vicente,AR,73.54,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
