City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Belyy Yar,RU,53.6039,91.3903,71.49,73,7,4.47,clear sky
1,Mataura,NZ,-46.1927,168.8643,32.49,99,99,3.06,light snow
2,Vaini,TO,-21.2,-175.2,60.96,94,20,1.14,few clouds
3,Longyearbyen,SJ,78.2186,15.6401,44.44,81,20,9.22,few clouds
4,Khatanga,RU,71.9667,102.5,59.61,57,100,15.82,overcast clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,41.76,80,100,11.74,overcast clouds
6,Mahebourg,MU,-20.4081,57.7,72.25,85,79,18.57,moderate rain
7,Mocuba,MZ,-16.8392,36.9856,83.73,29,0,7.92,clear sky
8,Cayenne,GF,4.9333,-52.3333,87.1,73,75,1.99,broken clouds
9,Ribeira Grande,PT,38.5167,-28.7,75.6,60,20,17.27,few clouds
10,Samarai,PG,-10.6167,150.6667,78.08,82,100,17.83,overcast clouds
11,Huarmey,PE,-10.0681,-78.1522,63.64,83,69,6.51,broken clouds
12,Cap Malheureux,MU,-19.9842,57.6142,72.46,81,69,5.01,moderate rain
13,Rikitea,PF,-23.1203,-134.9692,74.93,70,78,13.09,broken clouds
14,Barrow,US,71.2906,-156.7887,37.42,94,90,9.22,overcast clouds
15,Atuona,PF,-9.8,-139.0333,76.91,81,64,13.33,moderate rain
16,Guerrero Negro,MX,27.9769,-114.0611,69.26,85,5,10.54,clear sky
17,Kapaa,US,22.0752,-159.319,79.12,64,20,12.66,few clouds
18,Ushuaia,AR,-54.8,-68.3,29.35,90,86,5.95,overcast clouds
19,Opunake,NZ,-39.4556,173.8583,42.33,88,100,31.94,light rain
20,Atherton,GB,53.5237,-2.4935,65.44,85,100,11.01,overcast clouds
21,Mehamn,NO,71.0357,27.8492,67.96,48,11,10.96,few clouds
22,Banyo,CM,6.75,11.8167,69.08,88,100,0.87,overcast clouds
23,Saskylakh,RU,71.9167,114.0833,64.44,56,98,12.44,overcast clouds
24,Itarema,BR,-2.9248,-39.9167,86.52,43,0,16.55,clear sky
25,Aklavik,CA,68.2191,-135.0107,38.23,89,7,3.36,clear sky
26,Port Alfred,ZA,-33.5906,26.891,81.66,31,39,6.44,scattered clouds
27,Tilichiki,RU,60.4667,166.1,44.98,77,100,6.89,overcast clouds
28,Albany,US,42.6001,-73.9662,74.71,87,100,4.25,overcast clouds
29,Salalah,OM,17.0151,54.0924,78.89,89,90,11.5,overcast clouds
30,Chengde,CN,40.9725,117.9361,72.81,84,100,2.19,overcast clouds
31,Jalu,LY,29.0331,21.5482,101.61,16,0,8.19,clear sky
32,Lorengau,PG,-2.0226,147.2712,81.14,79,36,11.27,scattered clouds
33,Avarua,CK,-21.2078,-159.775,73.45,78,75,4.61,broken clouds
34,Provideniya,RU,64.3833,-173.3,44.26,88,100,13.53,overcast clouds
35,Te Anau,NZ,-45.4167,167.7167,31.51,97,92,2.28,light snow
36,Vanimo,PG,-2.6741,141.3028,77.92,88,100,7.25,overcast clouds
37,Ketchikan,US,55.3422,-131.6461,61.27,82,90,6.91,overcast clouds
38,Kodiak,US,57.79,-152.4072,52.61,97,100,5.57,light rain
39,Ilovlya,RU,49.3033,43.9796,96.1,15,100,14.36,light rain
40,Hailar,CN,49.2,119.7,67.71,72,100,6.31,light rain
41,Upernavik,GL,72.7868,-56.1549,37.58,87,68,6.2,broken clouds
42,Bandraboua,YT,-12.7044,45.1223,78.48,61,0,6.13,clear sky
43,Leshukonskoye,RU,64.8989,45.7622,69.31,37,100,4.72,overcast clouds
44,Fortuna,US,40.5982,-124.1573,62.42,70,90,1.99,overcast clouds
45,Ankang,CN,32.68,109.0172,68.65,98,100,0.65,light rain
46,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,16.11,scattered clouds
47,Portland,US,45.5234,-122.6762,59.9,82,18,2.24,few clouds
48,Buala,SB,-8.145,159.5921,78.57,80,95,0.29,overcast clouds
49,Cape Town,ZA,-33.9258,18.4232,63.1,76,100,8.99,light rain
50,Zhangjiakou,CN,40.81,114.8794,68.72,80,100,4.88,light rain
51,Leningradskiy,RU,69.3833,178.4167,35.49,84,24,14.74,few clouds
52,Halifax,CA,44.6453,-63.5724,72.52,88,100,2.3,overcast clouds
53,San Vicente,AR,-26.6167,-54.1333,73.54,40,0,6.26,clear sky
54,Hermanus,ZA,-34.4187,19.2345,63.81,61,100,25.55,overcast clouds
55,Hilo,US,19.7297,-155.09,73.13,85,90,8.05,overcast clouds
56,Lebu,CL,-37.6167,-73.65,46.13,75,99,13.15,overcast clouds
57,Srednekolymsk,RU,67.45,153.6833,52.45,75,4,4.54,clear sky
58,Ancud,CL,-41.8697,-73.8203,42.22,84,1,6.17,clear sky
59,New Norfolk,AU,-42.7826,147.0587,45.9,77,19,3.0,few clouds
60,Ormara,PK,25.2088,64.6357,81.12,81,34,13.87,scattered clouds
61,Marawi,PH,7.9986,124.2928,68.65,95,100,2.24,overcast clouds
62,Deputatskiy,RU,69.3,139.9,51.58,75,89,2.73,overcast clouds
63,Nuristan,AF,35.3,70.8333,54.37,57,61,1.39,broken clouds
64,Busselton,AU,-33.65,115.3333,58.08,80,7,25.39,clear sky
65,Saint George,US,37.1041,-113.5841,80.55,28,1,0.0,clear sky
66,Maumere,ID,-8.6199,122.2111,75.96,79,9,6.73,clear sky
67,Beloha,MG,-25.1667,45.05,75.78,42,0,11.97,clear sky
68,Castro,BR,-24.7911,-50.0119,63.75,66,3,5.57,clear sky
69,Egvekinot,RU,66.3167,-179.1667,37.06,74,3,13.09,clear sky
70,Bambanglipuro,ID,-7.95,110.2833,77.61,86,45,6.93,scattered clouds
71,San Cristobal,VE,7.7669,-72.225,66.38,73,100,1.1,overcast clouds
72,Airai,TL,-8.9266,125.4092,55.58,89,84,3.09,broken clouds
73,Bredasdorp,ZA,-34.5322,20.0403,63.28,53,100,17.31,overcast clouds
74,Coffs Harbour,AU,-30.3,153.1333,58.14,88,90,6.91,overcast clouds
75,Svencionys,LT,55.15,26.1667,75.72,55,100,12.35,overcast clouds
76,East London,ZA,-33.0153,27.9116,82.9,28,2,5.12,clear sky
77,Shingu,JP,33.7333,135.9833,84.9,87,100,4.21,moderate rain
78,Walvis Bay,NA,-22.9575,14.5053,65.35,59,6,14.97,clear sky
79,Nikolskoye,RU,59.7035,30.7861,75.09,65,98,7.99,overcast clouds
80,Vao,NC,-22.6667,167.4833,67.24,68,39,15.84,scattered clouds
81,Itaituba,BR,-4.2761,-55.9836,87.96,62,0,0.0,clear sky
82,Lompoc,US,34.6391,-120.4579,59.56,99,90,3.44,mist
83,Vila Velha,BR,-20.3297,-40.2925,67.95,83,75,4.61,broken clouds
84,Kavieng,PG,-2.5744,150.7967,81.77,75,67,9.75,broken clouds
85,Usinsk,RU,65.9939,57.5281,55.0,79,100,8.34,overcast clouds
86,Uige,AO,-7.6087,15.0613,89.49,24,29,6.55,scattered clouds
87,Filadelfia,US,39.9523,-75.1638,74.14,86,40,8.99,scattered clouds
88,Poum,NC,-20.2333,164.0167,69.69,70,87,20.24,overcast clouds
89,Ostrovnoy,RU,68.0531,39.5131,65.32,55,31,11.59,scattered clouds
90,Pombas,CV,17.1503,-25.0201,80.38,91,49,12.44,scattered clouds
91,Xiuyan,CN,40.2928,123.2744,73.09,73,12,2.1,few clouds
92,College,US,64.8569,-147.8028,56.59,92,75,3.44,broken clouds
93,Namatanai,PG,-3.6667,152.4333,78.89,80,100,5.82,overcast clouds
94,Asau,RO,46.4333,26.4,89.4,34,56,3.6,broken clouds
95,Simao,CN,22.7886,100.9748,69.21,96,100,2.62,overcast clouds
96,Nalut,LY,30.3333,10.85,108.45,7,0,6.78,clear sky
97,Topeka,US,39.0483,-95.678,70.18,96,75,8.05,mist
98,Saint-Philippe,RE,-21.3585,55.7679,80.19,78,85,10.07,overcast clouds
99,Kaitangata,NZ,-46.2817,169.8464,34.86,94,99,7.18,light rain
100,Barma,SL,8.35,-11.3333,83.12,61,100,4.41,overcast clouds
101,Kargil,IN,34.5667,76.1,66.47,34,77,5.32,broken clouds
102,Paamiut,GL,61.994,-49.6678,42.85,88,99,9.71,overcast clouds
103,Shitanjing,CN,39.2342,106.3439,78.78,23,0,7.29,clear sky
104,Kruisfontein,ZA,-34.0033,24.7314,77.88,32,97,13.89,overcast clouds
105,Severnyy,RU,50.677,36.5532,87.84,35,0,8.95,clear sky
106,Bluff,NZ,-46.6,168.3333,32.81,69,48,13.73,light snow
107,Jacqueville,CI,5.2052,-4.4146,78.71,85,26,13.85,light rain
108,Comodoro Rivadavia,AR,-45.8667,-67.5,46.26,42,0,13.8,clear sky
109,Ponta Do Sol,PT,32.6667,-17.1,74.71,78,80,3.83,broken clouds
110,Isangel,VU,-19.55,169.2667,69.51,76,100,8.95,overcast clouds
111,Muisne,EC,0.6,-80.0333,75.31,84,100,9.26,overcast clouds
112,Torbay,CA,47.6666,-52.7314,71.49,92,90,17.27,light rain
113,Qaanaaq,GL,77.484,-69.3632,38.8,67,33,4.03,scattered clouds
114,Cherskiy,RU,68.75,161.3,49.33,62,11,5.23,few clouds
115,Kudat,MY,6.8837,116.8477,85.93,79,20,1.14,few clouds
