City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2021-07-29 01:29:20,-46.1927,168.8643,57.47,72,55,4.94
1,Arraial Do Cabo,BR,2021-07-29 01:26:56,-22.9661,-42.0278,64.47,86,100,19.01
2,Meulaboh,ID,2021-07-29 01:25:50,4.1363,96.1285,76.89,87,100,3.91
3,Havoysund,NO,2021-07-29 01:29:20,70.9963,24.6622,47.28,90,93,7.74
4,Hobart,AU,2021-07-29 01:26:47,-42.8794,147.3294,52.27,65,40,5.99
5,Busselton,AU,2021-07-29 01:27:38,-33.65,115.3333,59.09,76,40,25.5
6,Minab,IR,2021-07-29 01:29:21,27.1467,57.0801,90.9,40,92,3.33
7,Ushuaia,AR,2021-07-29 01:25:02,-54.8,-68.3,42.46,81,20,4.61
8,Rikitea,PF,2021-07-29 01:29:21,-23.1203,-134.9692,73.81,79,96,14.45
9,Lere,NG,2021-07-29 01:29:22,10.387,8.5726,68.32,96,99,3.51
10,Albany,US,2021-07-29 01:29:22,42.6001,-73.9662,68.72,79,25,2.26
11,Hithadhoo,MV,2021-07-29 01:29:22,-0.6,73.0833,79.2,76,100,3.22
12,Punta Arenas,CL,2021-07-29 01:29:23,-53.15,-70.9167,48.31,66,0,12.66
13,Dashitou,CN,2021-07-29 01:29:23,43.3067,128.5114,81.3,67,100,1.83
14,Lata,PT,2021-07-29 01:26:35,40.1629,-8.3327,60.82,92,1,1.45
15,Verkh-Usugli,RU,2021-07-29 01:29:23,52.7,115.1667,57.94,92,100,1.88
16,Puerto Ayora,EC,2021-07-29 01:24:25,-0.7393,-90.3518,71.46,89,67,7.09
17,Mushie,CD,2021-07-29 01:29:24,-3.0167,16.9,69.91,45,8,3.6
18,Hilo,US,2021-07-29 01:26:54,19.7297,-155.09,80.33,83,90,11.5
19,Spring Hill,US,2021-07-29 01:29:24,28.4769,-82.5255,84.07,94,1,0.0
20,Usinsk,RU,2021-07-29 01:29:25,65.9939,57.5281,44.83,95,100,6.17
